,Sum,Max,Min
606,0.4488,5.278,5.3092
607,0.4322,5.2766,5.2942
608,0.4075,5.3231,5.3102
609,0.4083,5.3031,5.2942
610,0.448,5.3341,5.3087
611,0.4196,5.3097,5.3094
612,0.4189,5.3211,5.3572
613,0.4099,5.3215,5.3215
614,0.4326,5.3754,5.3493
615,0.4408,5.346,5.3579
616,0.4803,5.5186,5.6375
617,0.4818,5.3903,5.4009
618,0.4754,5.3903,5.3612
619,0.4598,5.3925,5.3757
620,0.4778,5.4991,5.3702
621,0.4873,5.4558,5.3356
622,0.4399,5.3493,5.3563
623,0.4414,5.3577,5.3347
624,0.4379,5.3598,5.3689
625,0.4797,5.3499,5.3535
626,0.4883,5.3933,5.3759
627,0.4549,5.3837,6.0749
628,0.5201,5.3903,5.4216
629,0.4665,5.5618,5.5297
630,0.4636,5.6911,5.4205
631,0.5568,5.4077,5.4192
632,0.5178,5.4279,5.4326
633,0.491,5.437,5.4683
634,0.4918,5.454,5.4585
635,0.4923,5.4544,5.4502
636,0.444,5.4679,5.5315
637,0.5137,5.4913,5.5032
638,0.4866,5.5141,5.5206
639,0.5517,5.5043,5.5097
640,0.483,5.5151,5.5509
641,0.5195,5.6721,5.6205
642,0.5256,5.8776,6.1527
643,0.4725,5.7496,5.6721
644,0.4612,5.6646,5.7849
645,0.4145,5.7146,5.8138
646,0.4491,5.7065,5.8975
647,0.4587,5.6905,5.6872
648,0.494,7.1695,7.5512
649,0.6936,7.1855,6.7403
650,0.6661,6.8441,6.7768
651,0.6352,6.5481,6.4818
652,0.5408,6.2529,5.9076
653,0.5517,6.0136,6.0879
654,0.4647,6.4093,6.1239
655,0.4963,6.0343,5.9557
656,0.4858,5.9408,6.1611
657,0.514,6.1412,6.0244
658,0.5029,5.9588,5.6863
659,0.5117,5.807,5.8695
660,0.4873,5.8634,5.7324
661,0.4576,5.7223,5.7054
662,0.4782,5.7137,5.7331
663,0.49,5.7152,5.7232
664,0.5152,5.7395,5.7311
665,0.5181,5.7469,5.739
666,0.5086,5.7518,5.7526
667,0.4954,5.7735,5.7906
668,0.5407,5.7638,5.7641
669,0.5403,5.7672,5.769
670,0.5458,6.2192,5.9802
671,0.5105,5.7839,5.764
672,0.493,5.8033,5.9443
673,0.4642,5.855,5.8018
674,0.5208,5.8387,5.8059
675,0.5071,5.8257,5.8411
676,0.4953,5.8458,6.0186
677,0.6788,8.3255,6.4567
678,0.5254,6.0015,6.0323
679,0.5498,5.9788,5.9798
680,0.5182,5.984,6.0018
681,0.4963,5.9877,6.0295
682,0.4922,6.2841,6.0041
683,0.4729,5.9879,6.0062
684,0.5026,6.1183,6.0039
685,0.5019,6.0617,5.8132
686,0.518,5.9472,5.9138
687,0.5249,5.923,5.9185
688,0.4853,5.9298,5.9506
689,0.5156,5.9633,5.9532
690,0.5003,5.964,5.943
691,0.5003,5.9549,5.9805
692,0.5177,5.9732,6.2171
693,0.5427,6.028,6.1561
694,0.532,6.4444,6.4275
695,0.5417,6.1778,6.2687
696,0.5468,6.1377,6.1427
697,0.4648,6.1099,6.112
698,0.5179,6.1253,6.1412
699,0.4708,6.1265,6.1208
700,0.4872,6.1307,6.1499
701,0.4905,6.1363,6.163
702,0.5068,6.2056,6.1642
